web-scraper-order,web-scraper-start-url,properties-href,price,address,selector,selector-href
1628467300-188,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T3142759,950 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628467018-177,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T2731775,1 898 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628467069-179,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/T3322669,1 850 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628467094-180,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/T3016279,1 820 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628466840-54,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T2768556,2 190 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628467351-190,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T3241969,900 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628466891-56,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/T2893756,2 150 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628466592-45,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T2921624,1 650 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628467994-214,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/bridgewater/1102006-oxford-mews/11-orion-close/T3321961,1 290 000,"Address: 110/2006 oxford mews, 11 orion close",,
1628467120-181,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/T3327634,Sold,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628467639-200,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/paardevlei-square/44-paardevlei-square/T3248372,2 195 000,"Address: paardevlei square, 44 paardevlei square",,
1628467172-183,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T3315718,1 690 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628466490-41,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T3242155,900 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628467664-201,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/44-paardevlei-square/44-paardevlei-square-30-w-r-quinan-boulevard/T3323223,2 190 000,"Address: 44 paardevlei square, 44 paardevlei square, 30 w r quinan boulevard",,
1628466440-39,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T3045723,1 320 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628467816-207,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/1194-de-velde-5/132-de-beers/T3302050,1 850 000,"Address: 1194 de velde 5, 132 de beers",,
1628466942-58,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/T2584772,1 899 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628467435-193,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/983-broad-street/T3282118,1 800 000,Address: 983 broad street,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
